# Forces     
# CofR       : (5.000000e-02 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
0.085        	((9.207850e+01 -1.451361e-03 5.968175e-20) (1.625516e-02 -7.244280e-09 -3.958412e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.751579e-21 -2.032643e-21 7.685739e-05) (-7.616505e-23 2.693784e-22 3.029032e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09         	((1.003177e+02 -5.525718e-05 5.829447e-20) (1.630694e-02 -7.417315e-09 -4.068964e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.963480e-21 -1.889141e-21 6.945619e-06) (-8.073423e-23 2.544612e-22 3.127417e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095        	((1.082876e+02 -1.445894e-03 5.685993e-20) (1.635867e-02 -7.635616e-09 -4.041470e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.015381e-21 -1.756097e-21 7.636741e-05) (-7.897430e-23 2.484304e-22 3.243320e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1          	((1.154350e+02 6.824385e-05 5.555426e-20) (1.641035e-02 -7.774751e-09 -4.156360e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.206524e-21 -1.622670e-21 5.612812e-07) (-8.559269e-23 2.340355e-22 3.319594e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105        	((1.224174e+02 -1.532311e-03 5.420227e-20) (1.646187e-02 -8.067630e-09 -4.133717e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.243661e-21 -1.499056e-21 8.048589e-05) (-8.660649e-23 2.284928e-22 3.467618e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11         	((1.287459e+02 1.911534e-05 5.296670e-20) (1.651321e-02 -8.161484e-09 -4.224509e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.387190e-21 -1.375730e-21 2.819967e-06) (-9.379806e-23 2.164558e-22 3.516977e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.115        	((1.348792e+02 -1.078347e-03 5.173668e-20) (1.656426e-02 -8.369547e-09 -4.230240e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.432443e-21 -1.260764e-21 5.759675e-05) (-9.777390e-23 2.100337e-22 3.616234e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12         	((1.405511e+02 -5.859062e-04 5.062143e-20) (1.661499e-02 -8.595451e-09 -4.290800e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.524513e-21 -1.149349e-21 3.288352e-05) (-1.046316e-22 2.003027e-22 3.726644e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.125        	((1.459935e+02 -8.665814e-04 4.956279e-20) (1.666531e-02 -8.760674e-09 -4.308818e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.571052e-21 -1.044227e-21 4.682612e-05) (-1.101517e-22 1.927037e-22 3.801810e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13         	((1.511180e+02 -5.969777e-04 4.858087e-20) (1.671515e-02 -8.898438e-09 -4.335685e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.627308e-21 -9.428701e-22 3.325712e-05) (-1.164477e-22 1.836234e-22 3.863577e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.135        	((1.560316e+02 -7.682648e-04 4.761182e-20) (1.676445e-02 -9.023583e-09 -4.338648e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.665709e-21 -8.436002e-22 4.173239e-05) (-1.221914e-22 1.747362e-22 3.916820e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14         	((1.607643e+02 -6.807782e-04 4.660305e-20) (1.681309e-02 -9.127717e-09 -4.333637e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.703746e-21 -7.423402e-22 3.726699e-05) (-1.278848e-22 1.651194e-22 3.959616e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.145        	((1.654415e+02 -6.115659e-04 4.545887e-20) (1.686097e-02 -9.174278e-09 -4.316341e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.739172e-21 -6.334779e-22 3.370773e-05) (-1.332444e-22 1.552699e-22 3.972496e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15         	((1.700953e+02 -6.799393e-04 4.415186e-20) (1.690794e-02 -9.247919e-09 -4.291968e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.776181e-21 -5.154412e-22 3.701894e-05) (-1.383651e-22 1.450572e-22 3.999305e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
